price,milage,model,make,transmission,fuel,Num_Cyl,year,body_style
21200,40347,Quest,Nissan,Automatic,Gasoline,6,2014,Minivan
10000,103728,NV200,Nissan,Automatic,Gasoline,4,2013,Van
12918,37792,Corolla,Toyota,Automatic,Gasoline,4,2015,Sedan
4500,145892,Altima,Nissan,Automatic,Gasoline,4,2008,Sedan
8488,90958,Accord,Honda,Manual,Gasoline,4,2010,Sedan
17251,98601,Pilot,Honda,Automatic,Gasoline,6,2013,SUV
4750,176200,Highlander,Toyota,Automatic,Gasoline,6,2005,SUV
17498,21771,Accord,Honda,Automatic,Gasoline,4,2015,Sedan
15460,24346,Juke,Nissan,Automatic,Gasoline,4,2015,SUV
12300,43183,Fit,Honda,Manual,Gasoline,4,2015,Hatchback
11388,38005,Sentra,Nissan,Automatic,Gasoline,4,2015,Sedan
13200,81288,Camry,Toyota,Automatic,Hybrid,4,2015,Sedan
5499,113128,Accord,Honda,Automatic,Gasoline,4,2006,Sedan
14975,117309,Pilot,Honda,Automatic,Gasoline,6,2011,SUV
13991,76465,Pilot,Honda,Automatic,Gasoline,6,2011,SUV
27765,62221,Tundra,Toyota,Automatic,Flexible-Fuel,8,2012,Pickup
7888,156693,CR-V,Honda,Automatic,Gasoline,4,2008,SUV
16483,27192,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
30000,30255,Highlander,Toyota,Automatic,Gasoline,6,2015,SUV
18895,43532,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
26000,6955,Civic,Honda,Automatic,Gasoline,4,2017,Hatchback
23050,24825,RAV4,Toyota,Automatic,Gasoline,4,2016,SUV
23000,7320,Accord,Honda,Automatic,Gasoline,4,2017,Sedan
14500,90949,Pathfinder,Nissan,Automatic,Gasoline,6,2013,SUV
5100,191051,Camry,Toyota,Automatic,Gasoline,4,2009,Sedan
17408,22824,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
6299,177334,Pilot,Honda,Automatic,Gasoline,6,2008,SUV
35960,33934,4Runner,Toyota,Automatic,Gasoline,6,2015,SUV
22696,12585,CR-V,Honda,Automatic,Gasoline,4,2016,SUV
12233,46624,Corolla,Toyota,Automatic,Gasoline,4,2017,Sedan
17750,35008,Camry,Toyota,Automatic,Gasoline,4,2016,Sedan
16703,41706,Quest,Nissan,Automatic,Gasoline,6,2015,Minivan
11700,27012,Sentra,Nissan,Automatic,Gasoline,4,2014,Sedan
6491,123173,Sentra,Nissan,Automatic,Gasoline,4,2011,Sedan
4300,136577,Corolla,Toyota,Automatic,Gasoline,4,2004,Sedan
16976,24044,Accord,Honda,Automatic,Gasoline,4,2015,Sedan
14987,21283,Camry,Toyota,Automatic,Gasoline,4,2014,Sedan
21100,52094,CR-V,Honda,Automatic,Gasoline,4,2015,SUV
16901,106849,Sienna,Toyota,Automatic,Gasoline,6,2012,Minivan
23251,9396,CR-V,Honda,Automatic,Gasoline,4,2017,SUV
11995,46586,Rogue,Nissan,Automatic,Gasoline,4,2012,SUV
15466,33479,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
21912,20819,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
15500,31929,Civic,Honda,Automatic,Gasoline,4,2016,Sedan
13778,37070,Corolla,Toyota,Automatic,Gasoline,4,2016,Sedan
16800,38413,Prius,Toyota,Automatic,Hybrid,4,2016,Hatchback
16990,25643,Altima,Nissan,Automatic,Gasoline,4,2015,Sedan
27498,1745,PriusPrime,Toyota,Automatic,Hybrid,4,2017,Hatchback
18142,71388,Pilot,Honda,Automatic,Gasoline,6,2015,SUV
15995,37002,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
7995,99522,Camry,Toyota,Automatic,Hybrid,4,2007,Sedan
30896,18395,Tacoma,Toyota,Manual,Gasoline,6,2016,Pickup
19490,11691,Accord,Honda,Automatic,Gasoline,6,2015,Coupe
20980,29242,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
29625,3884,RAV4,Toyota,Automatic,Gasoline,4,2016,SUV
5618,174867,Pilot,Honda,Automatic,Gasoline,6,2006,SUV
34500,40275,Pilot,Honda,Automatic,Gasoline,6,2016,SUV
23677,76122,Odyssey,Honda,Automatic,Gasoline,6,2016,Minivan
11800,74292,Altima,Nissan,Automatic,Gasoline,4,2015,Sedan
4690,158046,Civic,Honda,Automatic,Gasoline,4,2007,Coupe
24997,70275,Odyssey,Honda,Automatic,Gasoline,6,2015,Minivan
16180,30885,Civic,Honda,Automatic,Gasoline,4,2016,Sedan
19934,48350,Murano,Nissan,Automatic,Gasoline,6,2016,SUV
19500,109655,Pilot,Honda,Automatic,Gasoline,6,2014,SUV
3999,188901,Accord,Honda,Automatic,Gasoline,4,2007,Sedan
9995,135943,Ridgeline,Honda,Automatic,Gasoline,6,2006,Pickup
19364,57604,Pilot,Honda,Automatic,Gasoline,6,2015,SUV
9800,77531,Altima,Nissan,Automatic,Gasoline,4,2014,Sedan
4500,123592,Camry,Toyota,Automatic,Gasoline,4,2002,Sedan
19591,7128,Corolla,Toyota,Automatic,Gasoline,4,2017,Sedan
4900,149000,Murano,Nissan,Automatic,Gasoline,6,2007,SUV
7800,69083,Prius,Toyota,Automatic,Hybrid,4,2010,Hatchback
22999,7289,HR-V,Honda,Automatic,Gasoline,4,2016,SUV
18422,65877,Murano,Nissan,Automatic,Gasoline,6,2011,SUV
8750,146095,Avalon,Toyota,Automatic,Gasoline,6,2012,Sedan
15960,22221,Corolla,Toyota,Automatic,Gasoline,4,2015,Sedan
13736,75748,Accord,Honda,Automatic,Gasoline,6,2014,Sedan
12990,19304,Sentra,Nissan,Automatic,Gasoline,4,2015,Sedan
9980,91130,Avalon,Toyota,Automatic,Gasoline,6,2008,Sedan
11899,61631,Corolla,Toyota,Automatic,Gasoline,4,2014,Sedan
20965,31434,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
14975,5664,YarisiA,Toyota,Automatic,Gasoline,4,2017,Sedan
17500,37268,Altima,Nissan,Automatic,Gasoline,6,2017,Sedan
22995,59112,Tacoma,Toyota,Automatic,Gasoline,6,2013,Pickup
23000,65376,Odyssey,Honda,Automatic,Gasoline,6,2013,Minivan
15950,36838,Rogue,Nissan,Automatic,Gasoline,4,2013,SUV
13407,31004,Corolla,Toyota,Automatic,Gasoline,4,2015,Sedan
11995,61515,Accord,Honda,Automatic,Gasoline,4,2012,Sedan
15995,24206,Corolla,Toyota,Automatic,Gasoline,4,2016,Sedan
25344,32646,Pilot,Honda,Automatic,Gasoline,6,2015,SUV
10995,84076,Prius,Toyota,Automatic,Hybrid,4,2012,Hatchback
9900,57153,Sentra,Nissan,Automatic,Gasoline,4,2013,Sedan
19100,26268,Pathfinder,Nissan,Automatic,Gasoline,6,2015,SUV
9700,68483,Rogue,Nissan,Automatic,Gasoline,4,2013,SUV
14041,19389,Civic,Honda,Automatic,Gasoline,4,2015,Sedan
15995,38010,Accord,Honda,Automatic,Gasoline,4,2016,Sedan
17765,13399,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
